AxisLabel,Flutter,React_Native
1,14,0
2,37,0
3,46,0
4,48,0
5,53,0
6,60,0
7,60,0
8,41,0
9,52,0
10,47,0
11,46,0
12,35,0
13,38,0
14,35,0
15,42,0
16,51,0
17,60,0
18,53.8,0
19,39,0
20,41,0
21,36,0
22,38,0
23,42,0
24,43,0
25,41,0
26,37,0
27,52,0
28,60,0
29,47,0
30,34,0
