AxisLabel,Flutter,React_Native
1,41.0,86.30
2,29.33,79.67
3,27.67,80.33
4,32.00,81.30
5,27.67,79.13
6,28.33,79.70
7,28.00,81.90
8,29.33,79.37
9,27.67,80.00
10,28.00,82.83
11,28.00,81.43
12,28.00,83.17
13,28.00,84.17
14,30.33,83.33
15,30.33,80.40
16,27.00,80.17
17,27.67,80.83
18,26.67,81.73
19,27.67,79.73
20,27.00,79.83
21,27.67,80.57
22,25.67,79.80
23,28.67,79.87
24,25.33,80.00
25,28.00,79.87
26,27.33,79.77
27,28.00,80.30
28,27.00,79.73
29,28.00,79.57
30,28.00,79.87
