AxisLabel,Flutter,React_Native
1,13,16.5
2,12.6,14.7
3,12.6,12.6
4,12.6,10.6
5,13,10.6
6,12.6,9.6
7,13,7.8
8,10.2,6.6
9,13,6.2
10,12.6,6
11,12.6,5.8
12,12.6,5.5
13,13.7,4.8
14,10.2,4.2
15,7.8,4.2
16,12.6,4
17,13.6,4
18,13,3.8
19,12.6,3.8
20,9.6,3.6
21,12.6,3.6
22,10.2,3.6
23,12.6,3.4
24,12.6,3.4
25,12.6,3.4
26,13,3.4
27,12.6,3.4
28,12.6,3.2
29,12.6,3.2
30,13,3
