AxisLabel,Flutter,React_Native
1,5.33,8.73
2,4.67,7.80
3,4.67,7.70
4,4.67,7.83
5,4.33,7.77
6,5.00,6.97
7,4.67,7.33
8,5.00,6.67
9,4.33,6.77
10,4.67,6.67
11,4.33,6.83
12,6.33,6.83
13,4.67,6.83
14,4.33,6.80
15,5.00,6.70
16,5.00,6.67
17,5.00,7.00
18,4.67,6.83
19,4.33,6.60
20,4.33,6.60
21,4.67,6.70
22,4.33,6.60
23,5.33,6.90
24,4.67,6.77
25,4.67,6.70
26,5.00,6.60
27,4.67,7.30
28,4.33,7.00
29,4.67,6.90
30,4.67,7.30
