AxisLabel,Flutter,React_Native
1,34.2,60
2,35,60
3,34.67,60
4,34,60
5,34,60
6,34.6,60
7,34.4,60
8,34.2,58
9,35,57
10,35.2,56
11,35.1,53
12,36,52
13,36,53
14,35.5,51
15,36,52
16,35,50
17,35.7,49
18,35,47
19,35.2,48
20,35.4,46
21,35,45
22,35,47
23,35,45
24,36,42
25,35.3,44
26,35.4,43
27,35.3,43
28,36,42
29,36.3,42
30,36.5,41
